,T,Y,PARTYID7,IDEO,RELIG,ATTEND,SURV_MODE,SURV_LANG,GENDER,AGE,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE
855,0.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,63.0,1.0,2.0,1.0,2.0,10.0,3.0,1.0,1.0,1.0,1.0,2.0
856,1.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,26.0,4.0,4.0,5.0,4.0,6.0,8.0,1.0,1.0,2.0,3.0,4.0
857,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,53.0,2.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,2.0,2.0
858,0.0,3.0,7.0,4.0,12.0,1.0,2.0,1.0,1.0,37.0,1.0,3.0,1.0,1.0,9.0,4.0,1.0,1.0,2.0,2.0,5.0
859,0.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,34.0,4.0,3.0,5.0,1.0,5.0,9.0,1.0,1.0,2.0,2.0,4.0
860,0.0,1.0,7.0,4.0,2.0,4.0,2.0,1.0,2.0,73.0,1.0,3.0,1.0,5.0,10.0,3.0,1.0,1.0,1.0,1.0,3.0
861,1.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,26.0,1.0,4.0,5.0,4.0,3.0,9.0,1.0,1.0,2.0,3.0,4.0
862,1.0,3.0,6.0,2.0,12.0,2.0,2.0,1.0,2.0,43.0,4.0,1.0,3.0,1.0,7.0,9.0,1.0,1.0,2.0,1.0,4.0
863,0.0,1.0,7.0,5.0,1.0,8.0,2.0,1.0,2.0,71.0,1.0,3.0,1.0,5.0,18.0,5.0,1.0,1.0,1.0,2.0,3.0
864,1.0,4.0,1.0,2.0,1.0,7.0,2.0,1.0,2.0,72.0,5.0,3.0,5.0,5.0,9.0,5.0,1.0,1.0,2.0,3.0,4.0
865,1.0,3.0,2.0,3.0,11.0,1.0,2.0,1.0,1.0,31.0,1.0,2.0,1.0,3.0,5.0,5.0,0.0,1.0,2.0,2.0,5.0
866,0.0,1.0,2.0,1.0,4.0,8.0,2.0,1.0,1.0,34.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,4.0
867,0.0,3.0,2.0,4.0,5.0,3.0,2.0,1.0,2.0,67.0,1.0,5.0,3.0,3.0,13.0,2.0,1.0,1.0,1.0,2.0,3.0
868,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,26.0,4.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,2.0,3.0,4.0
869,0.0,1.0,6.0,4.0,12.0,1.0,2.0,1.0,1.0,55.0,1.0,3.0,3.0,6.0,11.0,5.0,1.0,1.0,2.0,3.0,4.0
870,1.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,33.0,1.0,5.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,3.0,4.0
871,1.0,3.0,4.0,3.0,11.0,1.0,2.0,1.0,2.0,46.0,4.0,3.0,1.0,1.0,11.0,5.0,1.0,1.0,1.0,3.0,4.0
872,1.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,60.0,1.0,5.0,1.0,5.0,13.0,3.0,0.0,1.0,1.0,1.0,4.0
873,1.0,3.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0,39.0,2.0,3.0,1.0,1.0,9.0,5.0,1.0,1.0,2.0,4.0,4.0
874,0.0,3.0,2.0,3.0,1.0,7.0,2.0,1.0,2.0,74.0,1.0,3.0,4.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,4.0
875,1.0,4.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,58.0,1.0,5.0,3.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,4.0
876,0.0,1.0,5.0,4.0,9.0,2.0,2.0,1.0,1.0,49.0,1.0,5.0,1.0,2.0,13.0,2.0,1.0,1.0,1.0,1.0,2.0
877,0.0,4.0,3.0,1.0,11.0,1.0,2.0,1.0,2.0,30.0,1.0,3.0,6.0,1.0,17.0,9.0,1.0,1.0,1.0,1.0,4.0
878,0.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,66.0,4.0,4.0,1.0,1.0,4.0,9.0,1.0,1.0,2.0,3.0,4.0
879,0.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,67.0,1.0,3.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,5.0,4.0
880,0.0,3.0,7.0,5.0,1.0,2.0,2.0,1.0,2.0,24.0,1.0,2.0,1.0,3.0,1.0,5.0,0.0,1.0,2.0,4.0,4.0
881,1.0,2.0,6.0,3.0,1.0,4.0,2.0,1.0,2.0,48.0,1.0,4.0,1.0,1.0,15.0,7.0,0.0,1.0,1.0,1.0,4.0
882,0.0,3.0,1.0,3.0,12.0,2.0,2.0,1.0,1.0,47.0,2.0,3.0,1.0,1.0,11.0,5.0,0.0,1.0,1.0,1.0,4.0
883,1.0,2.0,7.0,5.0,12.0,1.0,2.0,1.0,2.0,36.0,1.0,3.0,1.0,1.0,8.0,4.0,1.0,0.0,2.0,1.0,4.0
884,1.0,4.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,24.0,1.0,3.0,5.0,1.0,2.0,9.0,1.0,1.0,2.0,3.0,2.0
885,0.0,2.0,1.0,3.0,2.0,8.0,2.0,1.0,1.0,78.0,1.0,2.0,1.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,3.0
886,0.0,4.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,38.0,1.0,5.0,1.0,1.0,14.0,3.0,1.0,0.0,1.0,2.0,4.0
887,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,75.0,1.0,3.0,1.0,5.0,9.0,6.0,0.0,1.0,1.0,1.0,4.0
888,0.0,3.0,4.0,3.0,8.0,5.0,2.0,1.0,2.0,30.0,6.0,4.0,1.0,1.0,10.0,8.0,1.0,1.0,2.0,3.0,4.0
889,1.0,3.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,29.0,4.0,3.0,1.0,1.0,10.0,7.0,1.0,1.0,1.0,1.0,4.0
890,0.0,2.0,2.0,3.0,1.0,8.0,2.0,1.0,1.0,42.0,1.0,4.0,1.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,4.0
891,0.0,3.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,34.0,2.0,3.0,5.0,1.0,13.0,2.0,1.0,1.0,2.0,3.0,4.0
892,0.0,2.0,7.0,5.0,1.0,9.0,2.0,1.0,2.0,62.0,1.0,5.0,1.0,5.0,12.0,4.0,1.0,1.0,1.0,3.0,4.0
893,0.0,2.0,4.0,3.0,1.0,7.0,2.0,1.0,1.0,24.0,2.0,3.0,5.0,1.0,7.0,4.0,1.0,0.0,1.0,1.0,2.0
894,0.0,3.0,4.0,3.0,6.0,8.0,2.0,1.0,2.0,58.0,2.0,4.0,5.0,4.0,3.0,8.0,1.0,1.0,2.0,3.0,4.0
895,1.0,3.0,2.0,4.0,12.0,6.0,2.0,1.0,1.0,34.0,1.0,3.0,1.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,4.0
896,0.0,1.0,7.0,4.0,1.0,7.0,2.0,1.0,2.0,64.0,1.0,3.0,1.0,1.0,11.0,4.0,1.0,1.0,1.0,1.0,3.0
897,1.0,1.0,6.0,3.0,10.0,2.0,2.0,1.0,1.0,44.0,4.0,3.0,1.0,1.0,11.0,6.0,0.0,1.0,1.0,1.0,4.0
